Offset(V)     Pid     Handle     Access Type             Details
0x8165e9f8      4      0x7f0   0x1f0001 FilterC...onPort 
0x81885198      4      0x7f4       0x20 File             \Device\WebDavRedirector
0x81650268      4      0x7f8   0x1f0001 FilterC...onPort 
0x81366850      4      0x7fc   0x120116 File             \Device\Mup
0x814d3d60      4      0x804  0x2000003 File             \Device\HarddiskVolume1\Documents and Settings\LocalService\NTUSER.DAT
0x81558e50      4      0x808  0x2000003 File             \Device\HarddiskVolume1\Documents and Settings\LocalService\ntuser.dat.LOG
0x8163e028      4      0x80c  0x2000003 File             \Device\HarddiskVolume1\Documents and Settings\LocalService\Local Settings\Application Data\Microsoft\Windows\UsrClass.dat
0x815584e0      4      0x810  0x2000003 File             \Device\HarddiskVolume1\Documents and Settings\LocalService\Local Settings\Application Data\Microsoft\Windows\UsrClass.dat.LOG
0x81683aa0      4      0x814   0x12019f File             \Device\Tcp
0x81366d88      4      0x818       0x20 File             \Device\LanmanRedirector
0x818f6458      4      0x81c   0x1f03ff Process          VMwareUser.exe(1888)
0x818f5cd0      4      0x838   0x1f03ff Process          explorer.exe(1752)
0x81357d18      4      0x840   0x12019f File             \Device\Tcp
0x81357520      4      0x848   0x12019f File             \Device\Tcp
0x815257c8      4      0x854   0x12019f File             \Device\Tcp
0x81356f90      4      0x85c   0x12019f File             \Device\Tcp
0x81717938      4      0x8fc   0x1f03ff Thread           TID 1908 PID 4
0x8160acc0      4      0x904   0x120116 File             \Device\Mup
0x8192f028      4      0x908  0x2000003 File             \Device\HarddiskVolume1\Documents and Settings\Administrator\NTUSER.DAT
0x8192fa88      4      0x90c  0x2000003 File             \Device\HarddiskVolume1\Documents and Settings\Administrator\ntuser.dat.LOG
0x8192f868      4      0x910  0x2000003 File             \Device\HarddiskVolume1\Documents and Settings\Administrator\Local Settings\Application Data\Microsoft\Windows\UsrClass.dat
0x8189fc88      4      0x914  0x2000003 File             \Device\HarddiskVolume1\Documents and Settings\Administrator\Local Settings\Application Data\Microsoft\Windows\UsrClass.dat.LOG
0xe15e7678      4      0x918        0x2 Key              MACHINE\SOFTWARE\MICROSOFT\CRYPTOGRAPHY\RNG
0x815aa498      4      0x91c   0x1f01ff File             \Device\Udp
0x81791d00      4      0x920   0x1f01ff File             \Device\Udp
0x816fec90      4      0x924   0x1f01ff File             \Device\RawIp\255
0x81876c50      4      0x928   0x12019f File             \Device\NamedPipe\
0x818ee400      4      0x92c   0x12008b File             \Device\HarddiskVolume1\Documents and Settings\All Users\Application Data\Microsoft\Microsoft Security Essentials\Support\Application.etl
0xe1742cb8      4      0x930  0x20f01ff Token            
0xe18bb2f8      4      0x934   0x1f0001 Port             
0xe1775680      4      0x938    0xf001f Section          
0x8192d178      4      0x944   0x12019f File             \Device\Tcp
0x815be128      4      0x94c   0x12019f File             \Device\Tcp
0x81550410      4      0x950   0x12019f File             \Device\Tcp
0x81802310      4      0x954   0x12019f File             \Device\Tcp
0x818040a0      4      0x958   0x12019f File             \Device\Tcp
0x81336638      4      0x95c   0x1f03ff Process          vmtoolsd.exe(200)
0x81606190      4      0x960   0x12019f File             \Device\Tcp
0x8130c130      4      0x96c   0x12019f File             \Device\Tcp
0x812fa8c0      4      0x974   0x12019f File             \Device\Tcp
0x8130a3d8      4      0x988   0x1f01ff File             \Device\Tcp
0x81791f90      4      0x98c   0x12019f File             \Device\Tcp
0x812bf388      4      0x994   0x12019f File             \Device\Tcp
0x812b84f0      4      0x998   0x1f03ff Thread           TID 2120 PID 4
0xe1c15e78      4      0x99c    0xf000f Directory        Http
0x812b8230      4      0x9a0   0x1f03ff Thread           TID 2124 PID 4
0x812b6da8      4      0x9a4   0x1f03ff Thread           TID 2128 PID 4
0x812b6ae8      4      0x9a8   0x1f03ff Thread           TID 2132 PID 4
0x819c8260      4      0x9ac        0x1 Event            LowMemoryCondition
0x812b6770      4      0x9b0   0x1f03ff Thread           TID 2136 PID 4
0x812e0f90      4      0x9b4   0x100003 File             \Device\Gpc
0x815c4308      4      0x9b8   0x1200a0 File             \Device\Tcp
0xe1cb99a0      4      0x9bc    0x2001f Key              MACHINE\SYSTEM\CONTROLSET001\SERVICES\HTTP\PARAMETERS\URLACLINFO
0x813193f0      4      0x9c0   0x1200a0 File             \Device\Udp
0x814a0840      4      0x9c8   0x1200a0 File             \Device\Tcp
0x812eef90      4      0x9cc   0x12019f File             \Device\Tcp
0x8157f0c0      4      0x9d0   0x12019f File             \Device\Tcp
0x812f9658      4      0x9d4   0x12019f File             \Device\Tcp
0x812f8b38      4      0x9d8   0x12019f File             \Device\Tcp
0x81881a18      4      0x9dc   0x12019f File             \Device\Tcp
0x814a7608      4      0x9e0   0x12019f File             \Device\Tcp
0x81679910      4      0x9e4        0x3 File             \Device\Tcp
0x8161fc68      4      0x9e8        0x3 File             \Device\Ip
0x812c5580      4      0x9ec   0x1f01ff File             \Device\RawIp\47
0xe156a300      4      0x9f0   0x1f0001 Port             
0x8136a1e0      4      0x9f4   0x1f0003 Event            PrefetchTracesReady
0x814a2cd0      4      0xa00   0x1f03ff Process          lsass.exe(692)
0x815ba550      4      0xa10   0x1f01ff File             \Device\Udp
0x814a0658      4      0xa50   0x1f01ff File             \Device\Tcp
0x8164a020      4      0xa68   0x1f03ff Process          msseces.exe(1900)
0x8187b198      4      0xa70   0x1f01ff File             \Device\Udp
0x814c9b40      4      0xa74   0x1f03ff Process          winlogon.exe(636)
0x813a0458      4      0xa80   0x1f03ff Process          MsMpEng.exe(1040)
0x81677170      4      0xb10   0x1f01ff File             \Device\Tcp
0x812e2028      4      0xb14   0x12019f File             \Device\Tcp
0x817f7548      4      0xb4c   0x1f03ff Process          svchost.exe(1200)
0x816b7020      4      0xb50   0x1f03ff Process          svchost.exe(1076)
0x818f9da8      4      0xbfc        0x0 Thread           TID 116 PID 4
0x814ad2f8      4      0xc00   0x12019f File             \Device\Gpc
0xe15098a8      4      0xc04    0x20019 Key              MACHINE\HARDWARE\DESCRIPTION\SYSTEM\MULTIFUNCTIONADAPTER
0x81657c18      4      0xc08   0x1f01ff File             \Device\Tcp
0x8147c2e8      4      0xc14   0x1f03ff Thread           TID 284 PID 4
0x81701a00      4      0xc18   0x1f03ff Thread           TID 280 PID 4
0x816ffda8      4      0xc20   0x1f03ff Thread           TID 288 PID 4
0xe1000080    384        0x4    0xf0003 KeyedEvent       CritSecOutOfMemoryEvent
0x8165d168    384        0x8   0x100020 File             \Device\HarddiskVolume1\WINDOWS
0xe1595be0    384        0xc   0x1f0001 Port             SmApiPort
0xe16d61c8    384       0x10   0x1f0001 Port             
0xe1001108    384       0x14    0xf000f Directory        GLOBAL??
0xe15b9a60    384       0x18    0xf000f Directory        Sessions
0x8190a748    384       0x1c   0x100001 File             \Device\HarddiskVolume1\WINDOWS\system32
0xe1574a18    384       0x20    0xf0001 SymbolicLink     KnownDllPath
0xe15b28e8    384       0x24    0xf000f Directory        KnownDlls
0x8161c470    384       0x28   0x1f0003 Event            
0x818a5098    384       0x2c   0x1f0003 Event            UniqueSessionIdEvent
0x81616ab8    384       0x30   0x1f0fff Process          csrss.exe(612)
0x81616ab8    384       0x34      0x400 Process          csrss.exe(612)
0xe16d50d0    384       0x38   0x1f0001 Port             
0xe165f4a8    384       0x3c   0x1f0001 Port             
0xe16d56a0    384       0x40   0x1f0001 Port             
0xe18bfa00    384       0x44   0x1f0001 Port             
0x814c9b40    384       0x48   0x1f0fff Process          winlogon.exe(636)
0x81470020    384       0x4c      0x400 Process          svchost.exe(868)
0xe1000080    612        0x4    0xf0003 KeyedEvent       CritSecOutOfMemoryEvent
0xe15b28e8    612        0x8        0x3 Directory        KnownDlls
0x815c9f28    612        0xc   0x100020 File             \Device\HarddiskVolume1\WINDOWS\system32
0xe164d6f0    612       0x10    0xf000f Directory        BNOLINKS
0x814c9b40    612       0x14   0x1f0fff Process          winlogon.exe(636)
0xe158ab58    612       0x18    0xf0001 SymbolicLink     0
0xe164d618    612       0x1c    0xf000f Directory        0
0xe164d540    612       0x20    0xf000f Directory        DosDevices
0xe15969c8    612       0x24    0xf000f Directory        Windows
0xe1640140    612       0x28    0xf001f Section          
0xe164d468    612       0x2c    0xf000f Directory        BaseNamedObjects
0x81712728    612       0x30   0x100003 Semaphore        
0xe1653b10    612       0x34    0xf000f Directory        Restricted
0xe160dd30    612       0x38        0x4 Section          NlsSectionUnicode
0x817830c0    612       0x3c   0x1f0003 Event            
0xe1652f28    612       0x40        0x4 Section          NlsSectionLocale
0xe1652d80    612       0x44        0x4 Section          NlsSectionCType
0xe1652648    612       0x48        0x4 Section          NlsSectionSortkey
0xe1653d58    612       0x4c        0x4 Section          NlsSectionSortTbls
0x815c8b00    612       0x50   0x1f0003 Event            
0x818f7cc0    612       0x54   0x1f0003 Event            
0x814cf7c0    612       0x58   0x1f0003 Event            
0x817200c0    612       0x5c   0x1f0003 Event            
0xe1652498    612       0x60   0x1f0001 Port             
0x81708da8    612       0x64   0x1f03ff Thread           TID 620 PID 612
0xe164d468    612       0x68    0x2000f Directory        BaseNamedObjects
0xe1cc0c30    612       0x6c   0x1f0001 Port             
0x81708b30    612       0x70   0x1f03ff Thread           TID 624 PID 612
0xe155f988    612       0x74   0x1f0001 Port             ApiPort
0xe158fa88    612       0x78   0x1f0001 Port             SbApiPort
0x8170b6d8    612       0x7c   0x1f03ff Thread           TID 628 PID 612
0x81922548    612       0x80  0x21f0003 Event            
0x8170b460    612       0x84   0x1f03ff Thread           TID 632 PID 612
0xe15dceb0    612       0x88   0x1f0001 Port             
0x814c98c8    612       0x8c   0x1f03ff Thread           TID 640 PID 636
0xe16d54f0    612       0x90   0x1f0001 Port             
0x814c9650    612       0x94   0x1f03ff Thread           TID 644 PID 612
0xe16d6578    612       0x98    0x20019 Key              MACHINE\SYSTEM\CONTROLSET001\CONTROL\PRIORITYCONTROL
0x816fe8c0    612       0x9c   0x1f03ff Thread           TID 648 PID 612
0x8192e058    612       0xa0  0x21f0003 Event            
0x816fe648    612       0xa4   0x1f03ff Thread           TID 652 PID 612
0x81804020    612       0xa8  0x21f0003 Event            
0x818d73b0    612       0xac   0x1f0003 Event            WinSta0_DesktopSwitch
0x818e6238    612       0xb0   0x100001 File             \Device\0000002f
0x81641170    612       0xb4   0x100001 File             \Device\00000030
0x81666220    612       0xb8   0x100001 File             \Device\0000007b
0x816138e0    612       0xbc   0x100001 File             \Device\0000007a
0x814cc148    612       0xc0   0x100001 File             \Device\0000006c
0x81719128    612       0xc4   0x100001 File             \Device\0000006b
0x8177eed0    612       0xc8    0xf0003 WindowStation    WinSta0
0x81557da8    612       0xcc   0x1f03ff Thread           TID 3332 PID 1876
0x81652dd0    612       0xd0   0x100003 Semaphore        
0x81652a38    612       0xd4   0x100003 Semaphore        
0xe16de3e0    612       0xd8  0x20f003f Key              MACHINE
0xe16dda68    612       0xdc    0x20019 Key              MACHINE\SYSTEM\SETUP
0x8165f580    612       0xe0  0x21f0003 Event            
0x818d5888    612       0xe4   0x1f03ff Thread           TID 660 PID 636
0x818d6268    612       0xec   0x1f03ff Thread           TID 668 PID 636
0x818d5610    612       0xf0   0x1f03ff Thread           TID 672 PID 636
0x818d5398    612       0xf4   0x1f03ff Thread           TID 676 PID 636
0x81794d08    612       0xf8   0x1f0fff Process          services.exe(680)
0x812cd2d0    612       0xfc   0x1f03ff Thread           TID 1612 PID 1040
0x818ed4e0    612      0x100   0x1f03ff Thread           TID 688 PID 636
0x817201c8    612      0x104   0x1f03ff Thread           TID 1816 PID 1812
0x818d5308    612      0x108   0x100001 File             \Device\KsecDD
0x814a2cd0    612      0x10c   0x1f0fff Process          lsass.exe(692)
0x812db718    612      0x110   0x1f03ff Thread           TID 3464 PID 1912
0xe1742e40    612      0x114   0x1f0001 Port             
0xe173c6c0    612      0x118   0x1f0001 Port             
0x8149b240    612      0x11c   0x1f03ff Thread           TID 700 PID 612
0x81619978    612      0x120  0x21f0003 Event            
0x815b7628    612      0x124   0x1f03ff Thread           TID 704 PID 680
0x815b7b00    612      0x128   0x1f03ff Thread           TID 708 PID 680
0x81920020    612      0x12c   0x1f03ff Thread           TID 712 PID 680
0x815b5da8    612      0x130   0x1f03ff Thread           TID 720 PID 692
0x815b6218    612      0x134   0x1f03ff Thread           TID 716 PID 692
0x815b5b30    612      0x138   0x1f03ff Thread           TID 724 PID 692
0x815b58b8    612      0x13c   0x1f03ff Thread           TID 728 PID 692
0x819209f8    612      0x140   0x1f03ff Thread           TID 732 PID 692
0x816551a0    612      0x144   0x1f03ff Thread           TID 2092 PID 3372
0x8172da48    612      0x14c   0x1f03ff Thread           TID 748 PID 692
0x818ed8b8    612      0x150   0x1f03ff Thread           TID 764 PID 692
0x815b4460    612      0x154   0x1f03ff Thread           TID 768 PID 692
0x815c7020    612      0x158   0x1f03ff Thread           TID 772 PID 692
0x815c7da8    612      0x15c   0x1f03ff Thread           TID 776 PID 692
0x817ad288    612      0x160   0x1f03ff Thread           TID 2916 PID 1076
0x8131d258    612      0x164   0x1f0003 Event            
0x815c7640    612      0x168   0x1f03ff Thread           TID 788 PID 692
0x814d7020    612      0x16c   0x1f03ff Thread           TID 3296 PID 1752
0x815c6020    612      0x170   0x1f03ff Thread           TID 796 PID 692
0x818da020    612      0x178   0x1f03ff Thread           TID 1596 PID 1076
0x81324b58    612      0x17c   0x1f03ff Thread           TID 1884 PID 1076
0x815c6570    612      0x180   0x1f03ff Thread           TID 812 PID 692
0x815c3020    612      0x184   0x1f03ff Thread           TID 832 PID 680
0x815c5a60    612      0x188   0x1f03ff Thread           TID 824 PID 680
0x815c3528    612      0x18c   0x1f03ff Thread           TID 840 PID 680
0x815c32b0    612      0x190   0x1f03ff Thread           TID 844 PID 692
0x812e7da8    612      0x194   0x1f03ff Thread           TID 1444 PID 1076
0x815c2630    612      0x198   0x1f0fff Process          vmacthlp.exe(852)
0x815c2160    612      0x19c   0x1f03ff Thread           TID 856 PID 852
0xe1770490    612      0x1a0   0x1f0001 Port             
0x81470020    612      0x1a4   0x1f0fff Process          svchost.exe(868)
0x81470928    612      0x1a8   0x1f03ff Thread           TID 872 PID 868
0x814db980    612      0x1ac   0x1f03ff Thread           TID 808 PID 1812
0xe174b530    612      0x1b0   0x1f0001 Port             
0x816c0da8    612      0x1b4   0x1f03ff Thread           TID 880 PID 680
0x816bea08    612      0x1b8   0x1f03ff Thread           TID 920 PID 636
0x817a5020    612      0x1bc   0x1f03ff Thread           TID 904 PID 868
0x81501020    612      0x1c0   0x1f03ff Thread           TID 3124 PID 868
0x817a5a78    612      0x1c4   0x1f03ff Thread           TID 912 PID 868
0x8130dc00    612      0x1c8   0x1f03ff Thread           TID 3472 PID 2028
0x816bbcc0    612      0x1cc   0x1f03ff Thread           TID 924 PID 636
0x816bba08    612      0x1d0   0x1f03ff Thread           TID 928 PID 636
0x81580020    612      0x1d4   0x1f03ff Thread           TID 936 PID 680
0x818b5248    612      0x1d8   0x1f0fff Process          svchost.exe(944)
0x817a0020    612      0x1dc   0x1f03ff Thread           TID 948 PID 944
0xe19e4308    612      0x1e0   0x1f0001 Port             
0x8179e020    612      0x1e4   0x1f03ff Thread           TID 956 PID 944
0x8179f5b0    612      0x1e8   0x1f03ff Thread           TID 952 PID 944
0x8179eda8    612      0x1ec   0x1f03ff Thread           TID 960 PID 944
0x8179eb30    612      0x1f0   0x1f03ff Thread           TID 964 PID 944
0x8179e8b8    612      0x1f4   0x1f03ff Thread           TID 968 PID 944
0x814e7b38    612      0x1f8   0x1f0fff Process          msiexec.exe(2396)
0x818b43e8    612      0x1fc   0x1f03ff Thread           TID 976 PID 944
0x813a0820    612      0x200   0x1f03ff Thread           TID 1036 PID 868
0x813a0458    612      0x204   0x1f0fff Process          MsMpEng.exe(1040)
0x816b9020    612      0x208   0x1f03ff Thread           TID 1044 PID 1040
0xe19f6ef8    612      0x20c   0x1f0001 Port             
0x816b7020    612      0x210   0x1f0fff Process          svchost.exe(1076)
0x8154f020    612      0x214   0x1f03ff Thread           TID 2416 PID 1752
0x818b0340    612      0x218   0x1f03ff Thread           TID 1056 PID 1040
0x8166fc28    612      0x21c   0x100003 Event            
0x816b8cf0    612      0x220   0x1f03ff Thread           TID 1064 PID 1040
0x816b89a0    612      0x224   0x1f03ff Thread           TID 1068 PID 1040
0x812d2020    612      0x228   0x1f03ff Thread           TID 3280 PID 1752
0x816b7a28    612      0x22c   0x1f03ff Thread           TID 1080 PID 1076
0xe19ffa68    612      0x230   0x1f0001 Port             
0x8138c818    612      0x234   0x1f03ff Thread           TID 1092 PID 1076
0x8138c020    612      0x238   0x1f03ff Thread           TID 1088 PID 1040
0x8138c5a0    612      0x23c   0x1f03ff Thread           TID 1096 PID 1076
0x81921408    612      0x240    0xf01ff Desktop          Default
0x8156b020    612      0x248   0x1f03ff Thread           TID 1108 PID 1040
0x8156b828    612      0x24c   0x1f03ff Thread           TID 1116 PID 1040
0x8156b4e0    612      0x250   0x1f03ff Thread           TID 1120 PID 1040
0x816a68a8    612      0x254   0x1f03ff Thread           TID 1124 PID 1040
0x816a63c8    612      0x258   0x1f03ff Thread           TID 1128 PID 1076
0x8150bda8    612      0x25c   0x1f03ff Thread           TID 2508 PID 2396
0x817ac2c8    612      0x260   0x1f03ff Thread           TID 1156 PID 1076
